created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2025-06-07T06:50:33+00:00,1,41.8,40.0,2.92,0,,,,
2025-06-07T07:25:42+00:00,2,41.8,40.0,2.92,0,,,,
2025-06-07T08:11:56+00:00,3,33.3,46.0,0,0,,,,
2025-06-07T08:12:56+00:00,4,46.0,46.0,0,0,,,,
2025-06-07T08:13:27+00:00,5,46.0,46.0,0,1,,,,
2025-06-07T08:54:59+00:00,6,27.3,46.0,0,0,,,,
2025-06-07T08:55:35+00:00,7,27.3,46.0,0,0,,,,
2025-06-07T08:56:09+00:00,8,27.3,27.0,0,0,,,,
2025-06-07T08:56:44+00:00,9,27.3,27.0,0,0,,,,
2025-06-07T08:57:19+00:00,10,54.5,27.0,0,0,,,,
2025-06-07T08:57:55+00:00,11,54.5,27.0,0,1,,,,
2025-06-07T08:58:35+00:00,12,-26.2,93.5,0,0,,,,
2025-06-07T09:05:29+00:00,13,-26.2,93.5,0,0,,,,
2025-06-07T09:06:05+00:00,14,22.2,58.5,0,0,,,,
2025-06-07T09:06:39+00:00,15,22.2,58.5,0,0,,,,
2025-06-07T09:07:20+00:00,16,22.2,58.5,0,0,,,,
2025-06-07T09:15:20+00:00,17,22.2,58.5,58062,0,,,,
2025-06-07T09:15:53+00:00,18,22.2,58.5,64655,0,,,,
2025-06-07T09:16:26+00:00,19,22.2,58.5,64559,0,,,,
2025-06-07T09:16:57+00:00,20,22.2,58.5,64559,0,,,,
2025-06-07T09:17:29+00:00,21,22.2,58.5,53389,1,,,,
2025-06-07T09:18:02+00:00,22,22.2,58.5,53389,0,,,,
2025-06-07T09:18:34+00:00,23,22.2,83.0,21893,0,,,,
